title,author,sourceName,description,url,publishedAt
Trump says his spy chief Gabbard wrong on Iran's nuclear program,The Star Online,The Star Online,"WASHINGTON (Reuters) -U.S. President Donald Trump said on Friday that his director of national intelligence, Tulsi Gabbard, was wrong in suggesting that there is no evidence Iran is building a nuclear weapon. Read full story",https://www.thestar.com.my/news/world/2025/06/21/trump-says-his-spy-chief-gabbard-wrong-on-iran039s-nuclear-program,2025-06-20T19:53:00Z
At least 35 killed in new Israeli attack on Gaza aid seekers - Al Jazeera,feedfeeder,Slashdot.org,"At least 35 killed in new Israeli attack on Gaza aid seekersAl Jazeera As death toll rises, Gazans make life-risking journeys to seek foodReuters 34 killed in deadliest day of shootings near Gaza's new food distribution centers, authorities sayAP News Israel'…",https://slashdot.org/firehose.pl?op=view&amp;id=178121323,2025-06-20T19:52:46Z
Dem lawmaker sparks social media firestorm with 'cringe' anti-Trump guitar performance: 'Talk about tone-deaf',"Andrew Miller, Cameron Arcand",Fox News,"Georgia Democratic Rep. Hank Johnson faces backlash on X for his anti-Trump parody of ""Hey Joe,"" with critics dunking on the performance, despite his beginner guitarist disclaimer.",https://www.foxnews.com/politics/dem-lawmaker-sparks-social-media-firestorm-cringe-anti-trump-guitar-performance-talk-about-tone-deaf,2025-06-20T19:50:34Z
Two weeks' notice: Trump's deadline on Iran is a familiar one,"Megan Shannon, Dareh Gregorian",NBC News,President Donald Trump’s two-week timeline to decide on whether the U.S. will strike Iran’s nuclear sites is a familiar one — it’s one he’s repeatedly used since his first term in office.,https://www.nbcnews.com/politics/donald-trump/two-weeks-notice-trumps-deadline-iran-familiar-one-rcna214089,2025-06-20T19:47:44Z
"That Whole 'Death to America' Thing Is Really No Big Deal, You Know",Hotair,Freerepublic.com,"Globalize the Intifada,"" ""decolonize,"" and ""defund the police"" don't really mean what you think they do, right? Well, neither does ""Death to America."" It really is something of a love letter to America, at least according to MSNBC. MSNBC is now trying to conv…",https://freerepublic.com/focus/f-news/4324325/posts,2025-06-20T19:47:14Z
"Howard Levitt: A union should stand up for its members, not a foreign regime hostile to organized labour",Howard Levitt,Financial Post,"Why is Ontario CUPE organizing a rally in support of Iran, a country recognized by Canada as a state supporter of terrorism? Find out more.",https://financialpost.com/fp-work/why-ontario-cupe-organizing-rally-support-iran,2025-06-20T19:45:45Z
Proud Boys Have A Warning For Trump,Brandi Buchman,HuffPost,The far-right group members say they didn’t vote for this version of Trump.,https://www.huffpost.com/entry/proud-boys-trump-iran_n_6855b06fe4b06f37ceed2f44,2025-06-20T19:45:10Z
Iran Officials Join Large Anti-Israel Street Protests Dubbed 'Friday Of Rage & Victory',zerohedge.com,Biztoc.com,"Iran Officials Join Large Anti-Israel Street Protests Dubbed 'Friday Of Rage & Victory'
 
Despite Israeli warplanes conducting regular bombings and around Tehran, and against nuclear and missile sites in Western Iran, tens of thousands have taken to the stree…",https://biztoc.com/x/31bd8074c2efa4ea,2025-06-20T19:45:08Z
"Under New Leadership, OAS Is Determined to Show Progress on Haiti",bloomberg.com,Biztoc.com,,https://biztoc.com/x/51a6aa359a7c3677,2025-06-20T19:45:07Z
"Trump: Iran doesn't need nuclear energy, has oil",breakingthenews.net,Biztoc.com,"United States President Donald Trump questioned Iran's insistence on nuclear energy on Friday, arguing the country's vast oil reserves make such programs unnecessary.Talking to the press, the presiden...",https://biztoc.com/x/441846ea3dad122f,2025-06-20T19:45:06Z
"Dow Jones Today: Stocks Give Up Gains, Oil Slides as Trump Delays Decision to Join Israel-Iran Conflict",investopedia.com,Biztoc.com,"U.S. stocks gave up early gains and oil prices retreated Friday as investors watched diplomatic developments in the Middle East.
The Dow Jones Industrial Average was down 0.1% in recent trading, while the S&P 500 and Nasdaq Composite were near their session l…",https://biztoc.com/x/7014b1232df4416c,2025-06-20T19:45:05Z
"Third Point, Arb Funds Reap Big Gains as US Steel Bet Pays Out",bloomberg.com,Biztoc.com,,https://biztoc.com/x/1528401a39f2919e,2025-06-20T19:44:54Z
Disney Just Struck a Deal with Amazon. Should You Buy DIS Stock Here?,barchart.com,Biztoc.com,,https://biztoc.com/x/71bf99a096d17672,2025-06-20T19:44:53Z
Crude Prices Slip as US Holds Back from Iran Attack,barchart.com,Biztoc.com,,https://biztoc.com/x/10a27f2a0e5d9128,2025-06-20T19:44:52Z
Everyone Thinks the S&P 500 Is Too Expensive. Maybe It’s Too Cheap,barrons.com,Biztoc.com,,https://biztoc.com/x/10793e7ba2fedbb3,2025-06-20T19:44:51Z
Oil hedging volumes hit new records as US producers rush to lock in soaring prices,reuters.com,Biztoc.com,,https://biztoc.com/x/78af61b51c814499,2025-06-20T19:44:46Z
Iran meeting with European officials ends with no breakthrough,axios.com,Biztoc.com,"Iranian Foreign Minister Abbas Araghchi told his European counterparts Friday that Iran will not negotiate directly with the U.S. as long as Israel continues its military campaign, according to two European diplomats with direct knowledge of the discussions.
…",https://biztoc.com/x/685b50503473c089,2025-06-20T19:44:46Z
"Home Depot eyes a deal — plus, casual dining shines and TikTok ban is delayed once more",cnbc.com,Biztoc.com,"Every weekday, the CNBC Investing Club with Jim Cramer releases the Homestretch — an actionable afternoon update, just in time for the last hour of trading on Wall Street. Markets: The S & P 500 was modestly lower Friday as investors mull over the latest news…",https://biztoc.com/x/79a147f41f0f98a7,2025-06-20T19:44:41Z
German air force flies German nationals out of Israel,DPA,Yahoo Entertainment,The German air force has flown several dozen German citizens out of Israel amid the ongoing hostilities with Iran. Two Airbus A400M military aircraft with 64...,https://www.yahoo.com/news/german-air-force-flies-german-194423458.html,2025-06-20T19:44:23Z
The Moment Iranian Missiles Hit & Israel’s Iron Dome Failed,Next Media Network,Freerepublic.com,"Israel is reportedly trying to suppress this footage — the exact moment Iranian ballistic missiles struck and the Iron Dome defense system failed to intercept them. Captured during the height of the Iran-Israel conflict, this rare clip exposes the vulnerabili…",https://freerepublic.com/focus/f-news/4324322/posts,2025-06-20T19:42:05Z
